cluster amount population
1.000000000000000000e+00 7.531138100004345404e+01 0.000000000000000000e+00
2.000000000000000000e+00 4.602696800004029143e+01 0.000000000000000000e+00
3.000000000000000000e+00 1.704853099999124311e+01 5.543011086022171623e-03
4.000000000000000000e+00 4.261566999980669124e+00 4.156088312176624555e-01
5.000000000000000000e+00 7.560099999976511720e-01 4.759239518479037034e-01
6.000000000000000000e+00 9.871300000007604547e-02 9.314018628037255831e-02
7.000000000000000000e+00 9.187999999999712022e-03 9.136018272036543555e-03
8.000000000000000000e+00 6.260000000000087109e-04 6.260012520025039868e-04
9.000000000000000000e+00 2.200000000000000620e-05 2.200004400008799974e-05
